Fund Holdings as of,"08-May-26"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AC","ACCOR SA","Consumer Discretionary","Equity","2,152,408.50","0.39","2,152,408.50","48,675.00","44.22","France","Nyse Euronext - Euronext Paris","EUR"
"WISE","WISE PLC CLASS A","Financials","Equity","2,148,509.57","0.39","2,148,509.57","175,162.00","12.27","United Kingdom","London Stock Exchange","GBP"
"YAR","YARA INTERNATIONAL","Materials","Equity","2,117,052.69","0.39","2,117,052.69","43,502.00","48.67","Norway","Oslo Bors Asa","NOK"
"BEAN","BELIMO N AG","Industrials","Equity","2,111,082.11","0.39","2,111,082.11","2,592.00","814.46","Switzerland","SIX Swiss Exchange","CHF"
"TIT","TELECOM ITALIA","Communication","Equity","2,108,816.95","0.39","2,108,816.95","3,029,039.00","0.70","Italy","Borsa Italiana","EUR"
"MNG","M&G PLC","Financials","Equity","2,103,453.17","0.39","2,103,453.17","600,919.00","3.50","United Kingdom","London Stock Exchange","GBP"
"UNI","UNIPOL ASSICURAZIONI SPA","Financials","Equity","2,094,941.28","0.38","2,094,941.28","94,197.00","22.24","Italy","Borsa Italiana","EUR"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energy","Equity","2,091,975.75","0.38","2,091,975.75","109,815.00","19.05","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Health Care","Equity","2,073,132.10","0.38","2,073,132.10","51,695.00","40.10","Sweden","Nasdaq Omx Nordic","SEK"
"SKA B","SKANSKA B","Industrials","Equity","2,068,072.22","0.38","2,068,072.22","89,449.00","23.12","Sweden","Nasdaq Omx Nordic","SEK"
"ADDT B","ADDTECH CLASS B","Industrials","Equity","2,055,378.07","0.38","2,055,378.07","68,211.00","30.13","Sweden","Nasdaq Omx Nordic","SEK"
"MKS","MARKS AND SPENCER GROUP PLC","Consumer Staples","Equity","2,047,016.77","0.38","2,047,016.77","533,155.00","3.84","United Kingdom","London Stock Exchange","GBP"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","2,042,510.64","0.37","2,042,510.64","28,898.00","70.68","Germany","Xetra","EUR"
"HEIO","HEINEKEN HOLDING NV","Consumer Staples","Equity","2,036,038.80","0.37","2,036,038.80","33,598.00","60.60","Netherlands","Euronext Amsterdam","EUR"
"EVO","EVOLUTION","Consumer Discretionary","Equity","2,033,842.66","0.37","2,033,842.66","34,747.00","58.53","Sweden","Nasdaq Omx Nordic","SEK"
"SKF B","SKF B","Industrials","Equity","1,967,604.49","0.36","1,967,604.49","89,754.00","21.92","Sweden","Nasdaq Omx Nordic","SEK"
